fold,test_group,accuracy,macro_precision,macro_recall,macro_f1
1,p10,0.8192771084337349,0.7957936507936507,0.8765723270440251,0.8194551419198403
2,p11,0.6973684210526315,0.7887667887667887,0.7916666666666666,0.7443734370658516
3,p12,0.5657894736842105,0.7083333333333334,0.695970695970696,0.6248934356351237
4,p13,0.3953488372093023,0.1317829457364341,0.3333333333333333,0.18888888888888888
5,p14,0.6976744186046512,0.7624458874458874,0.6267676767676768,0.6370169082125604
6,p15,0.8589743589743589,0.8932748538011696,0.855797539826578,0.8658051900005285
7,p16,0.782051282051282,0.8123219373219372,0.7829100723837567,0.785164935301622
8,p17,0.6190476190476191,0.6603535353535354,0.6309646252142747,0.6185547249377037
9,p18,0.5833333333333334,0.600378787878788,0.5954054222888556,0.5817663817663817
10,p19,0.4810126582278481,0.49868959868959867,0.5627554725593941,0.4896796759432071
11,p20,0.7215189873417721,0.7870370370370371,0.7128851540616247,0.733495670995671
12,p21,0.8028169014084507,0.8309178743961353,0.7831012378426171,0.7973312401883831
13,p22,0.4788732394366197,0.37381916329284753,0.5815217391304347,0.4444444444444445
14,p23,0.4878048780487805,0.8227848101265822,0.37675070028011204,0.29412515964240105
15,p24,0.3902439024390244,0.4583333333333333,0.37254901960784315,0.25199362041467305
16,p3,0.30952380952380953,0.6362433862433862,0.5956959706959707,0.3851294903926483
17,p4,0.6385542168674698,0.7387177093059446,0.7250410509031199,0.6871100164203613
18,p5,0.6046511627906976,0.7417929292929294,0.7512254901960785,0.6459339594514013
19,p6,0.7558139534883721,0.7831978319783198,0.7592592592592592,0.7687400318979266
20,p7,0.5945945945945946,0.40058479532163743,0.6666666666666666,0.4825174825174825
21,p8,0.7297297297297297,0.6941176470588234,0.7222222222222222,0.6842948717948718
22,p9,0.6265060240963856,0.7324055892313384,0.6807017543859649,0.6601575131695614
