file,n_segments
SC01_AloneBaseline_L0.wav,144
SC02_FaceToFaceConversation_L2.wav,127
SC03_OtherSpeech_L1.wav,102
SC04_GroupConversation_L2.wav,67
SC05_AloneMusic_L0.wav,125
SC06_AlonePodcast_L0.wav,190
SC07_AloneOnTheTrain_L0.wav,354
SC08_AloneWalking_L0.wav,95
SC09_AlnoeWalking_L0.wav,38
SC10_OtherSpeech_L1.wav,58
SC11_TalkingWhileWalking_L2.wav,79
SC12_TalkingWhileEating_L2.wav,377
SC13_TalkingWhileWalking_L2.wav,80
SC14_FaceToFaceConversationOffice_L2.wav,23
SC15_OtherSpeech_L1.wav,138
SC16_FaceToFaceConversation_L2.wav,247
SC17_FaceToFaceConversation_L2.wav,132
SC18_OhterSpeech_L1.wav,23
SC19_FaceToFaceConversation_L2.wav,41
SC20_FaceToFaceConversation_L2.wav,110
SC21_OtherSpeech_L1.wav,109
SC22_FaceToFaceCoversation_L2.wav,127
SC23_AloneWalking_L0.wav,174
SC24_AloneOnTheTrain_L0.wav,148
SC25_AloneOnTheTrain_L0.wav,105
SC26_AloneOnTheTrain_L0.wav,151
SC27_AloneOnTheTrain_L0.wav,68
SC28_AloneWalking_L0.wav,144
SC29_OhterSpeech_L1.wav,199
SC30_OhterSpeech_L1.wav,204
SC31_TalkingWhileWalking_L2.wav,127
SC32_TalkingWhileEating_L2.wav,341
SC33_TalkingWhileWalking_L2.wav,84
SC34_OhterSpeech_L1.wav,35
SC35_FaceToFaceCoversation_L2.wav,173
SC36_AloneEnvironment_L0.wav,182
SC37_AloneWalking_L0.wav,177
SC38_AloneWalking_L0.wav,282
SC39_AloneWalking_L0.wav,503
SC40_OhterSpeech_L1.wav,274
SC41_AloneEnvironment_L0.wav,56
SC42_TalkingWhileWalking_L2.wav,78
SC43_TalkingWhileEating_L2.wav,413
SC44_TalkingWhileWalking_L2.wav,72
SC45_TalkingWhileWalking_L2.wav,313
SC46_GroupConversation_L2.wav,609
SC47_GroupConversation_L2.wav,542
SC48_GroupConversation_L2.wav,726
